Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-06-28 12:04:49.404 +0530,"Failure",0:00:00,1,0,1,"20230628_120449.404/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:06:38.162 +0530,"Failure",0:00:00,1,0,1,"20230628_120638.162/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:07:58.866 +0530,"Failure",0:00:00,1,0,1,"20230628_120758.866/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:08:48.122 +0530,"Failure",0:00:00,1,0,1,"20230628_120848.122/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:18:37.596 +0530,"Failure",0:00:00,1,0,1,"20230628_121837.596/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:19:10.941 +0530,"Failure",0:00:00,1,0,1,"20230628_121910.941/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:27:09.754 +0530,"Failure",0:00:00,1,0,1,"20230628_122709.754/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:47:39.142 +0530,"Failure",0:00:00,1,0,1,"20230628_124739.142/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:50:34.553 +0530,"Failure",0:00:00,1,0,1,"20230628_125034.553/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
2023-06-28 12:56:17.814 +0530,"Failure",0:00:00,1,0,1,"20230628_125617.814/LogFile.txt","","Image Not Found -- click Error - No Text Found On Screen: ""(TEXT:""laxmi"")"". Text not found.",0
